symbol,feature,period,horizon_minutes,threshold,events,gross_mean,net_mean,median_net,win_rate,trade_sharpe
SOLUSDT,sig_price_mr,holdout,30,2.5,529,-2.1252359808276705e-05,-0.0010212523598082772,-0.0014783544606554724,0.3742911153119093,-3.397299535171308
SOLUSDT,sig_price_mr,selection,60,1.5,6263,0.0004137819074833782,-0.0005862180925166223,-0.0008850045998161074,0.43685134919367713,-4.713089778477599
SOLUSDT,sig_price_mr,holdout,60,1.5,2876,-7.31258635380397e-05,-0.0010731258635380402,-0.0011190619010890126,0.40159944367176637,-7.370603228850163
SOLUSDT,sig_price_mr,selection,60,2.0,2954,0.0003743858418122214,-0.0006256141581877792,-0.0008624997936446102,0.4350033852403521,-3.2701224408895926
SOLUSDT,sig_price_mr,holdout,60,2.0,1427,0.0001779709461497742,-0.0008220290538502263,-0.0011207729468599706,0.4099509460406447,-4.14138480796538
SOLUSDT,sig_price_mr,selection,60,2.5,1444,0.0008884102497810283,-0.0001115897502189725,-0.0005462787854645925,0.4695290858725762,-0.3609727375306912
SOLUSDT,sig_price_mr,holdout,60,2.5,529,0.00025972127680248775,-0.0007402787231975129,-0.0012301760847047696,0.42911153119092627,-1.8672370500499436
SOLUSDT,sig_funding_contra,selection,15,1.5,3009,5.320759686488546e-05,-0.0009467924031351148,-0.0008891106675538154,0.3615819209039548,-14.254096963513302
SOLUSDT,sig_funding_contra,holdout,15,1.5,1847,0.00021056299418716716,-0.0007894370058128332,-0.0007775305895439946,0.32539252842447214,-12.08797588174373
SOLUSDT,sig_funding_contra,selection,15,2.0,1573,7.807458976612619e-05,-0.0009219254102338742,-0.0009049828214974234,0.35918626827717737,-10.676601776514858
SOLUSDT,sig_funding_contra,holdout,15,2.0,499,0.00033111476242959973,-0.0006688852375704004,-0.000636010677020126,0.37074148296593185,-5.20955717958338
SOLUSDT,sig_funding_contra,selection,15,2.5,949,7.986090246717824e-05,-0.0009201390975328221,-0.0007613365155131327,0.37302423603793466,-8.844756723406114
SOLUSDT,sig_funding_contra,holdout,15,2.5,105,0.0005205439227857143,-0.0004794560772142861,-0.0007576345128451614,0.3047619047619048,-1.613448689264838
SOLUSDT,sig_funding_contra,selection,30,1.5,3009,0.00011563607556229815,-0.0008843639244377023,-0.0008732807096278874,0.4037886340977069,-9.638417803617877
SOLUSDT,sig_funding_contra,holdout,30,1.5,1847,0.00039496555946016916,-0.000605034440539831,-0.0007481742634097835,0.37682728749323224,-6.66868910696924
SOLUSDT,sig_funding_contra,selection,30,2.0,1573,0.00018819372303008995,-0.0008118062769699104,-0.0007685720897940831,0.3954227590591227,-6.934790454649149
SOLUSDT,sig_funding_contra,holdout,30,2.0,499,0.0006577366344361177,-0.00034226336556388254,-0.00040369707811549384,0.4308617234468938,-1.8668492525644889
